,Sample_Names,before,after,before_after,before_after_rescaled
0,beadpack,46.70318052833012,35.99235276936691,0.14126195129710753,0.14126195129710753
1,estaillades,83304688055.68092,155654.1855269303,3.1287647529918536,3.1287647529918536
2,Ketton_10003,1741.1017297160038,144.0232300936062,0.7744788225156075,0.7744788225156075
3,AH,1.6642533531282678e+61,5948305.913580098,17.788726276403942,17.788726276403942
4,AL,3.8806172419516856e+166,5.395993542063379e+55,22.025890441409803,22.025890441409803
6,BL,1.4201224149539585e+25,10321.028848827556,6.197022719474068,6.197022719474068
7,menke_2017_est,1.2202449259219246e+32,24134537764.79781,5.654074765044635,5.654074765044635
8,menke_2017_ketton,2348394140.2805767,597586508.0511369,3.991956462829521,3.991956462829521
9,menke_2017_portland,2.301033151306535e+55,258.9847630547537,23.488064325120934,23.488064325120934
10,menke_2017_ketton_3.6,30893939982977.0,40461.968674508564,1.637494817382003,1.637494817382003
11,Sil_HetA_High_Scan1,4.7948712385622646e+116,4.347794272639444e+21,30.38437901844946,30.38437901844946
12,Sil_HetA_Low_Scan1,6.199665041287702e+146,2.8146536116797694e+55,27.550259976692615,27.550259976692615
13,Sil_HetB_High_Scan1,3.865804132225552e+113,124123828569.92422,28.207844280765613,28.207844280765613
14,Sil_HetB_Low_Scan1,4.801368560454921e+189,1.1741439096987653e+111,18.380407898698333,18.380407898698333
