,Sample_Names,before,after,before_after,before_after_rescaled
0,beadpack,3.113416958115821,3.0668502838808522,0.14124506770911005,0.06372116009930238
1,estaillades,2.5845599723434787,2.482904369716278,3.1283226960774844,0.16799283642591312
2,Ketton_10003,2.9289087509419707,2.8626944260718528,0.7743278363994697,0.13709672271520235
3,AH,23.74524140429371,2.0364623629411844,61.86525527463855,1.0018005208507936
4,AL,18.12023429412045,2.492351072977503,56.4484011596549,0.6086268452344714
5,BH,9.090153564240346,2.0827253091796782,1375.5133028203252,0.9400710425595952
6,BL,6.077502477546854,3.061562868775945,1874.8116599611644,0.49800249756954024
7,menke_2017_est,4.4204999627827775,2.308648204253348,5.650833252296693,0.39191496922603175
8,menke_2017_ketton,4.597708714206058,2.2705482747654018,3.991733665668453,0.42166832276918936
9,menke_2017_portland,3.1416049456713018,2.11876952275641,23.49089366048405,0.3275252521552196
10,menke_2017_ketton_3.6,7.478562682398796,2.793942322300219,1.637576190821902,0.33918641206472766
11,Sil_HetA_High_Scan1,4.670006474998459,3.278151383093277,30.385384668581008,0.20385879463425477
12,Sil_HetA_Low_Scan1,3.7458159421633934,2.9964893912816013,27.558138225445806,0.16643701876702918
13,Sil_HetB_High_Scan1,4.7123309591287885,2.513010762951552,28.202259980343946,0.36989070487740827
14,Sil_HetB_Low_Scan1,3.642994524381081,3.056907116087279,18.380802082128273,0.1377119869508644
