Sample_Name,Publication,VoxelSize,SSA,Porosity,Steps,Timestep,reff
Sil_HetA_High,AlKhulaifi2018,5.20E-06,"[6908.028639, 7394.720633, 7131.650511, 6859.919842, 6705.809438, 6497.10613, 6370.472884, 6248.874112, 6125.135805]","[0.12011947190000001, 0.1287410969, 0.1346426192, 0.1409090641, 0.1478676535, 0.1528319969, 0.1592792901, 0.16436544090000002, 0.16996924700000002]",9,"[0,33,66,99,132,165,198,231,264]","[9.639577540325045e-06, 6.164037647356581e-06, 6.786630028789576e-06, 7.83475051294737e-06, 5.7178612043048355e-06, 7.664440571951402e-06, 6.1665259346509546e-06, 6.926348277630206e-06]"
Sil_HetA_Low,AlKhulaifi2018,5.20E-06,"[6186.308205, 6222.894183, 6246.608563, 6307.206243, 6351.617152, 6387.250082, 6380.726006, 6402.822405, 6424.396957]","[0.1145601785, 0.12017443209999999, 0.12193735439999999, 0.12550652980000002, 0.1275103818, 0.1282663476, 0.1299738853, 0.132650769, 0.1343082986]",9,"[0,33,66,99,132,165,198,231,264]","[7.00944245202663e-06, 2.188082822006082e-06, 4.413128773146929e-06, 2.453870339507389e-06, 9.192652365982919e-07, 2.064806610063671e-06, 3.2402790175275505e-06, 1.9994605422613324e-06]"
Sil_HetB_High,AlKhulaifi2018,5.20E-06,"[5887.745408, 5974.531104, 5965.010027, 5891.804855, 5828.081199, 5733.535164, 5751.808667, 5636.887387, 5703.448839]","[0.09291022726999999, 0.10056133730000001, 0.1107283014, 0.1195805165, 0.12792126809999999, 0.1369043465, 0.1436617051, 0.1487248212, 0.1570047212]",9,"[0,33,66,99,132,165,198,231,264]","[1.0036872944260133e-05, 1.3143482914737144e-05, 1.1462089139630088e-05, 1.0934019267095568e-05, 1.1904813535435004e-05, 9.10285212366165e-06, 6.798865606998864e-06, 1.1345110608291866e-05]"
Sil_HetB_Low,AlKhulaifi2018,5.20E-06,"[7400.640785, 8399.24834, 8305.92066, 7660.863046, 7753.061304, 7886.346018, 8517.456587, 8633.968716, 8020.887105]","[0.09832422047, 0.09919291490999999, 0.09971760651, 0.1032131691, 0.10522155379999999, 0.10782264959999999, 0.1092006415, 0.1111756908, 0.1119232945]",9,"[0,33,66,99,132,165,198,231,264]","[9.066104454019462e-07, 4.824881934797431e-07, 3.2505159830646126e-06, 2.02484697267134e-06, 2.591231003027709e-06, 1.3495650975635362e-06, 1.7909811435013537e-06, 6.687810714190296e-07]"
AH,AlKhulaifi2019,5.20E-06,"[21144.97373, 22784.35481, 22425.57733, 22188.88347, 22138.48889, 22145.4223, 22116.3219, 22725.82508, 22270.47753, 22404.31159]","[0.07028376549, 0.09041577261, 0.1070339164, 0.1216086623, 0.1323946426, 0.13905842870000001, 0.1426256391, 0.14587522549999998, 0.1499464978, 0.1524160953]",10,"[0,33,66,99,132,165,198,231,264,297]","[7.997707155717101e-06, 6.113997850220158e-06, 5.44675011306751e-06, 4.073682762321057e-06, 2.522625125412423e-06, 1.3499002738023192e-06, 1.2313376910924983e-06, 1.5010669008702867e-06, 9.288707593966409e-07]"
AL,AlKhulaifi2019,5.20E-06,"[23098.53623, 24019.71874, 25037.34286, 25609.35367, 25955.82818, 26231.51396, 26456.31113, 26515.58816, 26455.32161, 26579.03758]","[0.055197141490000004, 0.06066741637, 0.06563685977, 0.06972228874, 0.07512628149, 0.08047601576, 0.08559543700000001, 0.08940366577, 0.09139572306, 0.09423645119]",10,"[0,33,66,99,132,165,198,231,264,297]","[1.9646279536425303e-06, 1.7143117096042448e-06, 1.3509321714867079e-06, 1.745934410218268e-06, 1.7049837440118287e-06, 1.6138502393190008e-06, 1.1900798238878957e-06, 6.211015933423322e-07, 8.876812508769175e-07]"
BH,AlKhulaifi2019,5.20E-06,"[16134.97502, 19592.09073, 20445.01322, 20266.78845, 20221.51024, 20216.92958, 20326.4868, 20309.33069, 20440.15108, 20705.73179]","[0.0371137577, 0.06005650962, 0.08690120499000001, 0.09414342125, 0.09928022325000001, 0.10337832159999999, 0.1075178173, 0.1105196163, 0.11462138579999999, 0.1188571359]",10,"[0,33,66,99,132,165,198,231,264,297]","[1.1626396716972627e-05, 1.1157279720891222e-05, 2.8830683141031784e-06, 2.062794294885739e-06, 1.6495010345618064e-06, 1.6667650688913342e-06, 1.2023808325328958e-06, 1.6446719501374658e-06, 1.6880785110285375e-06]"
BL,AlKhulaifi2019,5.20E-06,"[14918.07553, 16162.93903, 16942.10764, 17406.64237, 17496.06267, 17586.45831, 17733.37398, 17899.74273, 17934.23643, 18005.99029]","[0.04120961671, 0.05315360064, 0.05998311674, 0.06559452939, 0.06840313457, 0.07065520592, 0.07363662462, 0.07741911516, 0.07875815198, 0.08019925257]",10,"[0,33,66,99,132,165,198,231,264,297]","[6.768460209099684e-06, 3.5587461906780926e-06, 2.782952346052241e-06, 1.3543555535107256e-06, 1.0798705341697878e-06, 1.4214707204477098e-06, 1.7878308141938685e-06, 6.269204358141309e-07, 6.73332156969268e-07]"
Menke2015,Menke2015,3.81E-06,"[6174.235729, 6195.755797, 6234.403164, 6278.790232, 6325.58397, 6353.869873, 6175.464873, 6354.658701, 6335.972108, 6308.646516]","[0.1352131768, 0.1579232934, 0.1759037121, 0.19130205520000002, 0.2057517146, 0.2180069624, 0.228501402, 0.23757101519999999, 0.2452103664, 0.2513989338]",10,"[0,17,33,50,67,83,100,116,133,149]","[9.762728213130476e-05, 8.184072898632069e-05, 6.555625715854422e-05, 6.108248231390469e-05, 5.463682475858994e-05, 4.383852947809463e-05, 4.1417424604339685e-05, 3.190797826111477e-05, 2.754487772525952e-05]"
est0.1ph3.1,Menke2017,4.07E-06,"[11234.76112, 12132.17304, 11864.51225, 11061.05316, 10897.09454, 10847.37714, 10776.64239]","[0.050448438209999995, 0.06464417814, 0.07476688598, 0.1111041836, 0.1150439017, 0.1273184608, 0.1320919532]",7,"[0,20,60,100,140,180,220]","[2.8506779669971967e-05, 9.412003460733259e-06, 3.4548302104788257e-05, 4.017840015862427e-06, 1.2706301442203562e-05, 4.964042227307322e-06]"
est0.1ph3.6,Menke2017,4.15E-06,"[8223.830835, 8330.365517, 8786.725947, 8741.741369, 8797.129232, 8775.184782]","[0.07271124636, 0.09147488252000001, 0.11204143650000001, 0.12218745330000001, 0.1358553022, 0.1439674852]",6,"[0,60,100,140,180,220]","[1.7158350988820657e-05, 2.7849759158511103e-05, 1.3025441945229337e-05, 1.7637059792308824e-05, 1.0402093160609235e-05]"
ket0.1ph3.1,Menke2017,8.14E-06,"[5022.579726, 5731.792601, 5511.339569, 5919.891587, 5911.472074, 5917.682363, 5879.705115, 5919.717295, 5914.346358, 5919.486435, 5916.592275]","[0.05789674141, 0.07074992916, 0.07626031918, 0.09354633069, 0.09704307587000001, 0.1039563206, 0.111957349, 0.1181853075, 0.1210070711, 0.12336385059999999, 0.12645985299999998]",11,"[0,12,37,62,86,112,136,161,185,210,235]","[9.622473620065275e-05, 1.7351452101135893e-05, 5.660849153314173e-05, 1.1105112251576491e-05, 2.02953667635346e-05, 2.541949292982608e-05, 1.911763294087314e-05, 8.96174085509641e-06, 7.192107199264035e-06, 9.439765663590824e-06]"
ket0.1ph3.6,Menke2017,8.14E-06,"[4634.722371, 5197.691625, 5207.896751, 5245.394119, 5511.820484, 5564.354736, 5596.066495, 5577.749237, 5652.913914]","[0.09551025452999999, 0.1173168604, 0.11946612440000001, 0.12554522540000002, 0.16045692809999998, 0.1791607352, 0.20160442020000002, 0.21879984419999998, 0.23837981020000001]",8,"[0,21,62,103,144,185,226,267]","[0.00010109484677860076, 4.550712102688474e-06, 1.2846271597410388e-05, 7.324753464823986e-05, 3.7345222958069754e-05, 4.4389419117183137e-05, 3.381661467656981e-05]"
port0.1ph3.1,Menke2017,4.59E-06,"[7319.96315, 7717.10963, 7896.579691, 7686.659178, 7988.954844, 7621.550756, 7555.508323]","[0.033906511720000004, 0.04355893945, 0.06681335742, 0.07272810938, 0.07476181445, 0.07488153125000001, 0.0751752793]",7,"[0,21,62,103,144,185,226]","[2.8332985031205758e-05, 3.316277852202917e-05, 8.243233853483614e-06, 2.91172565143483e-06, 1.6491692924299647e-07, 4.2416199437403264e-07]"
port0.1ph3.6,Menke2017,4.15E-06,"[6536.477338, 7253.909352, 7324.871677, 7312.954676, 7287.305795, 7270.11857, 7263.444636, 7192.256646, 7174.965385]","[0.02990122381, 0.05609405714, 0.07177357619000001, 0.07788937619, 0.08329922857, 0.08729050952, 0.09039037937, 0.09690392698, 0.1000604397]",8,"[0,20,59,137,176,215,260,300]","[9.040504922199627e-05, 2.5008058059123693e-05, 4.829949768876694e-06, 8.5587805048937e-06, 6.336722097315812e-06, 4.275367144166947e-06, 1.0115769690364152e-05]"
